目录分组,文件名,版本,文件类型,用途说明,读取频率,状态
03-projects · 索引,_INDEX.md,-,项目索引,所有项目的状态索引与优先级,每次启动,活跃
03-projects · NexFlow,iS-NexFlow_PCS_Briefing_v0.6.md,v0.6,PCS,NexFlow 项目宪章与启动简报,项目启动时,活跃
03-projects · NexFlow,NexFlow_TBF_V3.1.md,v3.1,任务简报,NexFlow 任务简报最新版,按需,活跃
03-projects · NexFlow,iS-NexFlow_Workspace_Startup_Guide_v1.0.md,v1.0,启动指南,NexFlow 工作空间启动指南,项目启动时,活跃
03-projects · Nex2U,Nex2U_Master_Doc_v2.1.md,v2.1,主文档,Nex2U 项目主文档最新版,按需,活跃
03-projects · Nex2U,Nex2U_Business_Strategy_v1.3.md,v1.3,战略文档,Nex2U 商业战略,按需,活跃
03-projects · Nex2U,Nex2U_Feature_Alignment_v1.1.md,v1.1,功能对齐,Nex2U 功能对齐文档,按需,活跃
03-projects · Nex2U,GPT_Project_Instructions_Nex2U_v26.1.1.md,v26.1.1,系统指令,Nex2U GPT 工作空间系统指令,配置时使用,活跃
03-projects · Nex2U,Manus_Project_Instructions_Nex2U_v26.1.1.md,v26.1.1,系统指令,Nex2U Manus 工作空间系统指令,配置时使用,活跃
03-projects · Synexa,iS-Synexa_PCS_v0.2.md,v0.2,PCS,Synexa 品牌项目宪章,项目启动时,活跃
04-assets · 品牌,Synexa_Company_Profile_V2.0.md,v2.0,品牌文档,Synexa 公司简介,对外交付时,活跃
04-assets · 品牌,Synexa_Website_Content_V1.0.md,v1.0,网站内容,Synexa 官网内容文案,按需,活跃
04-assets · 架构图,Synexa_iS_Base_Architecture_v1.4.png,v1.4,架构图,iS 基础架构图最新版,按需,活跃
05-sop · 流程,SOP_001_FBR_Mechanism_v1.1.md,v1.1,SOP,FBR 反向审查机制标准流程,按需,活跃
05-sop · 流程,SOP_002_Manus_Workspace_Naming_v1.2.md,v1.2,SOP,Manus 工作空间命名规范,配置时使用,活跃
05-sop · 流程,SOP_003_Execution_Submission_v1.0.md,v1.0,SOP,执行提交标准流程,按需,活跃
05-sop · 流程,SOP_004_Instruction_Tracking_Mechanism_v1.0.md,v1.0,SOP,指令跟踪机制标准流程,按需,活跃
05-sop · 流程,SOP_005_Instruction_Lifecycle_Protocol_v1.0.md,v1.0,SOP,指令生命周期协议,按需,活跃
05-sop · 流程,SOP_006_PCS_Instruction_Management_Setup_v1.0.md,v1.0,SOP,PCS 指令管理配置流程,项目启动时,活跃
05-sop · 流程,SOP_007_Instruction_Tracker_Standard_v1.0.md,v1.0,SOP,指令跟踪标准,按需,活跃
05-sop · 流程,SOP_008_General_Production_Workflow_v1.1.md,v1.1,SOP,通用生产工作流,按需,活跃
05-sop · 模板,FBL_Template_v1.1.md,v1.1,模板,FBL 反馈日志模板,按需,活跃
05-sop · 模板,TBF_Template_v2.1.md,v2.1,模板,TBF 任务简报模板最新版,按需,活跃
06-isync · 同步,_ISYNC_INDEX.md,-,索引,ISYNC 同步索引,每次同步,活跃
06-isync · 同步,iS-Core_ISYNC.md,-,同步记录,iS-Core 工作空间同步记录,每次同步,活跃
06-isync · 同步,iS-NexFlow_ISYNC.md,-,同步记录,NexFlow 工作空间同步记录,每次同步,活跃
06-isync · 同步,iS-Nex2U_ISYNC.md,-,同步记录,Nex2U 工作空间同步记录,每次同步,活跃
06-isync · 同步,iS-Synexa_ISYNC.md,-,同步记录,Synexa 工作空间同步记录,每次同步,活跃
06-isync · 同步,GPT_Sync_Log.md,-,同步日志,GPT 侧文件同步日志,每次 GPT 更新,活跃
06-isync · 同步,GLOBAL_INSTRUCTION_TRACKER.md,-,指令跟踪,全局指令跟踪总表,按需,活跃
06-skills · S3-N-Grid,SKILL.md,-,Skill,S3 N-Grid 战略认知操作系统技能入口,按需触发,活跃
06-skills · S3-N-Grid,S3_N-Grid_Whitepaper_V1.0.md,v1.0,白皮书,N-Grid 方法论白皮书,按需,活跃
06-tracker · 跟踪,GLOBAL_INSTRUCTION_TRACKER.md,-,指令跟踪,全局指令跟踪（tracker 目录版）,按需,活跃
00-master · 全局治理,IS_NAMING_CONVENTION_v1.0.md,v1.0,治理规范,体系命名原则与语言风格选择标准（拉丁/英文/中文规则）,按需,活跃
04-assets · CI 规范,IS_CI_COLOR_SPEC_v0.1.md,v0.1,CI 规范,全局 CI 色系应用规范（文档/界面/图表/打印）,按需,活跃
04-assets · CI 规范,超智·系统CI色系规范_V0.1.json,v0.1,CI 原始数据,CI 色系 JSON 原始文件（供程序化调用）,按需,活跃
00-master · 全局治理,IS_PBS_STANDARD_v1.0.md,v1.0,治理标准,项目基线表（PBS）通用标准规范（M0–M4 五模块结构）,项目孵化时,活跃
05-engines · CapabilityAtom,IS_CAPABILITY_ATOM_HELP_v1.0.md,v1.0,帮助文档,「能力原子」飞书应用帮助文档（含知识库摘要+术语表）,按需,活跃
04-assets · 架构图,SYNEXA_GLOBAL_ARCHITECTURE_v1.8_digital_neural.webp,v1.8,架构图,超智全局架构图 v1.8 数字神经版（当前基线）,按需,活跃
04-assets · 架构图,SynexaiS_Global_Architecture_Overview_V1.0.webp,V1.0,架构图,Synexa iS 全局架构总览 V1.0（当前基线）,按需,活跃
04-assets · 架构图,Synexa_Nex2U_V0.3.webp,V0.3,架构图,Nex2U 引擎架构图 V0.3（当前基线）,按需,活跃
04-assets · 架构图（归档）,Synexa_iS_Base_Architecture_v1.5.png,v1.5,架构图,iS 基础架构图 v1.5（已归档至 archive/）,按需,归档
04-assets · 架构图（归档）,Synexa_iS_Base_Architecture_v1.5_FINAL.webp,v1.5,架构图,iS 基础架构图 v1.5 FINAL webp 版（已归档至 archive/）,按需,归档
04-assets · 架构图（归档）,Synexa_iS_Base_Architecture_v1.4.png,v1.4,架构图,iS 基础架构图 v1.4（已归档至 archive/）,按需,归档
00-master · 全局治理,IS_CODE_PACKAGE_GOVERNANCE_v1.1.md,v1.1,治理原则,全局代码包治理与交付接入原则（五状态模型+AI接力+版本迭代+存储权限）,代码包接收时,活跃
00-master · 全局治理,Cross_Workspace_Collaboration_Protocol_v0.1.md,v0.1,全局协议,跨工作空间协同任务协议（触发条件/四级分级/交接任务包/回流反馈包/版本补丁机制）,跨空间任务触发时,活跃
04-skills · 协同路由,SKILL.md,v0.1.2,Skill 主文件,synexa-collaboration-router Skill 入口文件（frontmatter + 完整工作流）,跨空间任务触发时,活跃
04-skills · 协同路由,collaboration_protocol.md,v0.1.2,协议文档,跨工作空间协同协议（触发条件/四级分级/主责判断/交接包/回流包）,跨空间任务触发时,活跃
04-skills · 协同路由,handoff_template.md,v0.1.2,模板,标准交接任务包模板（10字段）,生成交接包时,活跃
04-skills · 协同路由,return_feedback_template.md,v0.1.2,模板,标准回流反馈包模板（7字段）,生成回流包时,活跃
04-skills · 协同路由,cases.md,v0.1.2,案例库,协同路由实战案例记录（Case 001起）,复盘/参考时,活跃
05-sop · 协同,synexa-collaboration-router.md,v0.1.2,SOP索引,协同路由 Skill 的 SOP 索引文件（指向 04-skills 源文件）,按需,活跃
